;state;income;professional;unemployment
0;Alabama;67826.0;38.5;4.6
1;Alabama;41287.0;30.5;3.4
2;Alabama;46806.0;27.9;4.7
3;Alabama;55895.0;29.0;6.1
4;Alabama;68143.0;48.8;2.3
5;Alabama;44549.0;25.2;6.1
6;Alabama;41250.0;25.4;16.9
7;Alabama;80089.0;46.0;7.2
8;Alabama;64439.0;36.8;2.2
9;Alabama;49469.0;32.3;6.8
10;Alabama;46607.0;30.1;6.0
11;Alabama;36450.0;19.4;5.4
12;Alabama;41387.0;28.4;5.8
13;Alabama;33769.0;17.8;7.8
14;Alabama;49583.0;33.6;3.9
15;Alabama;47178.0;32.1;7.4
16;Alabama;41071.0;33.3;4.4
17;Alabama;27722.0;16.3;5.9
18;Alabama;80800.0;56.0;2.3
19;Alabama;87373.0;49.7;2.9
20;Alabama;70132.0;41.6;5.5
21;Alabama;55217.0;34.0;5.6
22;Alabama;62684.0;41.3;7.4
23;Alabama;49286.0;25.2;2.9
24;Alabama;50411.0;24.1;2.1
25;Alabama;45067.0;17.8;1.1
26;Alabama;44804.0;24.0;2.5
27;Alabama;35490.0;21.7;5.3
28;Alabama;64486.0;40.8;4.9
29;Alabama;62000.0;44.0;4.6
30;Alabama;60846.0;42.7;2.5
31;Alabama;52500.0;42.3;12.4
32;Alabama;67917.0;29.8;5.3
33;Alabama;51695.0;37.1;7.2
34;Alabama;48245.0;43.4;6.3
35;Alabama;78578.0;45.6;5.6
36;Alabama;46833.0;30.1;6.2
37;Alabama;45190.0;29.9;7.8
38;Alabama;54688.0;29.6;29.4
39;Alabama;45561.0;40.3;7.1
40;Alabama;37237.0;30.4;12.3
41;Alabama;49900.0;25.4;3.1
42;Alabama;47049.0;28.9;5.3
43;Alabama;;;
44;Alabama;36595.0;28.1;17.2
45;Alabama;31042.0;17.3;16.4
46;Alabama;31442.0;17.0;9.4
47;Alabama;32583.0;37.4;5.7
48;Alabama;39458.0;19.8;10.3
49;Alabama;26520.0;10.9;7.6
50;Alabama;26250.0;28.3;11.7
51;Alabama;39873.0;43.0;12.4
52;Alabama;30697.0;22.7;16.1
53;Alabama;47301.0;31.7;11.5
54;Alabama;42061.0;19.1;7.3
55;Alabama;52659.0;30.2;10.9
56;Alabama;36687.0;21.4;5.4
57;Alabama;45571.0;28.5;5.0
58;Alabama;50142.0;40.8;5.0
59;Alabama;45809.0;27.5;3.1
60;Alabama;42120.0;23.7;4.8
61;Alabama;37781.0;27.5;3.7
62;Alabama;40518.0;28.7;7.5
63;Alabama;48889.0;23.1;4.4
64;Alabama;63266.0;33.4;3.4
65;Alabama;42834.0;16.4;6.0
66;Alabama;22266.0;20.7;17.0
67;Alabama;27013.0;15.9;7.6
68;Alabama;44417.0;24.8;16.5
69;Alabama;32102.0;28.9;4.4
70;Alabama;41713.0;42.0;3.4
71;Alabama;45433.0;38.9;6.3
72;Alabama;49107.0;18.8;6.3
73;Alabama;28910.0;19.2;13.9
74;Alabama;36096.0;24.9;4.3
75;Alabama;48450.0;25.3;7.0
76;Alabama;23472.0;27.3;12.1
77;Alabama;24722.0;14.3;14.5
