;state;population
0;Alabama;1845
1;Alabama;2172
2;Alabama;3385
3;Alabama;4267
4;Alabama;9965
5;Alabama;3620
6;Alabama;3420
7;Alabama;2913
8;Alabama;11333
9;Alabama;6167
10;Alabama;2796
11;Alabama;3153
12;Alabama;3988
13;Alabama;3259
14;Alabama;9056
15;Alabama;4810
16;Alabama;5038
17;Alabama;3418
18;Alabama;8068
19;Alabama;17748
20;Alabama;5883
21;Alabama;9704
22;Alabama;7499
23;Alabama;5688
24;Alabama;6342
25;Alabama;8009
26;Alabama;5473
27;Alabama;4072
28;Alabama;10485
29;Alabama;4296
30;Alabama;5136
31;Alabama;6179
32;Alabama;4710
33;Alabama;10180
34;Alabama;10050
35;Alabama;4386
36;Alabama;3331
37;Alabama;5123
38;Alabama;708
39;Alabama;6334
40;Alabama;11801
41;Alabama;7131
42;Alabama;5455
43;Alabama;0
44;Alabama;3071
45;Alabama;4291
46;Alabama;1813
47;Alabama;3721
48;Alabama;3365
49;Alabama;2120
50;Alabama;1775
51;Alabama;2157
52;Alabama;3888
53;Alabama;2643
54;Alabama;6201
55;Alabama;5032
56;Alabama;8704
57;Alabama;7532
58;Alabama;7285
59;Alabama;3572
60;Alabama;4937
61;Alabama;4637
62;Alabama;7526
63;Alabama;4146
64;Alabama;9317
65;Alabama;8715
66;Alabama;1488
67;Alabama;5608
68;Alabama;3382
69;Alabama;2089
70;Alabama;1284
71;Alabama;2351
72;Alabama;1523
73;Alabama;3084
74;Alabama;3957
75;Alabama;1869
76;Alabama;2695
77;Alabama;1274
78;Alabama;2488
79;Alabama;2579
80;Alabama;2810
81;Alabama;1275
82;Alabama;2005
83;Alabama;2832
84;Alabama;1197
85;Alabama;3665
86;Alabama;5965
87;Alabama;7046
88;Alabama;3184
89;Alabama;4156
90;Alabama;2112
91;Alabama;3053
92;Alabama;5218
93;Alabama;3508
94;Alabama;6821
95;Alabama;6527
96;Alabama;6962
97;Alabama;3621
98;Alabama;3208
99;Alabama;7025
100;Alabama;3378
101;Alabama;3540
102;Alabama;4652
103;Alabama;7451
104;Alabama;4618
105;Alabama;4623
106;Alabama;8
107;Alabama;0
108;Alabama;0
109;Alabama;3655
110;Alabama;2987
111;Alabama;6392
112;Alabama;3286
113;Alabama;5102
114;Alabama;850
115;Alabama;3972
116;Alabama;3056
117;Alabama;4595
118;Alabama;3474
119;Alabama;3632
120;Alabama;5614
121;Alabama;4126
122;Alabama;4372
123;Alabama;4637
124;Alabama;4381
125;Alabama;7123
126;Alabama;2748
127;Alabama;3658
128;Alabama;5599
129;Alabama;8885
130;Alabama;3043
131;Alabama;3531
132;Alabama;4837
133;Alabama;2972
134;Alabama;4370
135;Alabama;3553
136;Alabama;2293
137;Alabama;1281
138;Alabama;1122
139;Alabama;5217
140;Alabama;1362
141;Alabama;4948
142;Alabama;3830
143;Alabama;4011
144;Alabama;1219
145;Alabama;1635
146;Alabama;5101
147;Alabama;3251
148;Alabama;2765
149;Alabama;2290
150;Alabama;2886
151;Alabama;3837
152;Alabama;3701
153;Alabama;4515
154;Alabama;2242
155;Alabama;1749
156;Alabama;4912
157;Alabama;1812
158;Alabama;4547
159;Alabama;1510
160;Alabama;2299
161;Alabama;2914
162;Alabama;2219
163;Alabama;3153
164;Alabama;2095
165;Alabama;8602
166;Alabama;8498
167;Alabama;4521
168;Alabama;3480
169;Alabama;2053
170;Alabama;1840
171;Alabama;1590
172;Alabama;5828
173;Alabama;3888
174;Alabama;6247
175;Alabama;4935
176;Alabama;4716
177;Alabama;4485
178;Alabama;3724
179;Alabama;4234
180;Alabama;3533
181;Alabama;3882
182;Alabama;2015
183;Alabama;1640
184;Alabama;3278
185;Alabama;1948
186;Alabama;3768
187;Alabama;3945
188;Alabama;3581
189;Alabama;3429
190;Alabama;4111
191;Alabama;4462
192;Alabama;3107
193;Alabama;2227
194;Alabama;3970
195;Alabama;2044
196;Alabama;3102
197;Alabama;2875
198;Alabama;1386
199;Alabama;1526
200;Alabama;1773
201;Alabama;1842
202;Alabama;1907
203;Alabama;3187
204;Alabama;1953
205;Alabama;2040
206;Alabama;2890
207;Alabama;3875
208;Alabama;1657
209;Alabama;1451
210;Alabama;6076
211;Alabama;7424
212;Alabama;5022
213;Alabama;4573
214;Alabama;4613
215;Alabama;3831
216;Alabama;5272
217;Alabama;4481
218;Alabama;6526
219;Alabama;6018
220;Alabama;3475
221;Alabama;2664
222;Alabama;4539
223;Alabama;2864
224;Alabama;4111
225;Alabama;5273
226;Alabama;1915
227;Alabama;3026
228;Alabama;5149
229;Alabama;3583
230;Alabama;2186
231;Alabama;2340
232;Alabama;2291
233;Alabama;1954
234;Alabama;3292
235;Alabama;3339
236;Alabama;4208
237;Alabama;4969
238;Alabama;4154
239;Alabama;2569
240;Alabama;4004
241;Alabama;5355
242;Alabama;6190
243;Alabama;2787
244;Alabama;1992
245;Alabama;3776
246;Alabama;3075
247;Alabama;3195
248;Alabama;2897
249;Alabama;1962
250;Alabama;1612
251;Alabama;2744
252;Alabama;2377
253;Alabama;1231
254;Alabama;1448
255;Alabama;1366
256;Alabama;4103
257;Alabama;5903
258;Alabama;3070
259;Alabama;7686
260;Alabama;5737
261;Alabama;5441
262;Alabama;5941
263;Alabama;9133
264;Alabama;4860
265;Alabama;3679
266;Alabama;4067
267;Alabama;3271
268;Alabama;2358
269;Alabama;5783
270;Alabama;4265
271;Alabama;9701
272;Alabama;4646
273;Alabama;2570
274;Alabama;6942
275;Alabama;4398
276;Alabama;6752
277;Alabama;7126
278;Alabama;4341
279;Alabama;6657
280;Alabama;6193
281;Alabama;4203
282;Alabama;7312
283;Alabama;4253
284;Alabama;1751
285;Alabama;4144
286;Alabama;5598
287;Alabama;4169
288;Alabama;3994
289;Alabama;1788
290;Alabama;3739
291;Alabama;5563
292;Alabama;4793
293;Alabama;3866
294;Alabama;4111
295;Alabama;3691
296;Alabama;2562
297;Alabama;3938
298;Alabama;1796
299;Alabama;2047
300;Alabama;1111
301;Alabama;1293
302;Alabama;2671
303;Alabama;1460
304;Alabama;5114
305;Alabama;2895
306;Alabama;2318
307;Alabama;3639
308;Alabama;1721
309;Alabama;2295
310;Alabama;4946
311;Alabama;2602
312;Alabama;3653
313;Alabama;5072
314;Alabama;8376
315;Alabama;5237
316;Alabama;5149
317;Alabama;3780
318;Alabama;3797
319;Alabama;2897
320;Alabama;1656
321;Alabama;4699
322;Alabama;4720
323;Alabama;5559
324;Alabama;2438
325;Alabama;1509
326;Alabama;3202
327;Alabama;4201
328;Alabama;3889
329;Alabama;3856
330;Alabama;3778
331;Alabama;5611
332;Alabama;2565
333;Alabama;4312
334;Alabama;2829
335;Alabama;2752
336;Alabama;2186
337;Alabama;1595
338;Alabama;5879
339;Alabama;4715
340;Alabama;2388
341;Alabama;5534
342;Alabama;5643
343;Alabama;4309
344;Alabama;3983
345;Alabama;1669
346;Alabama;3677
347;Alabama;3187
348;Alabama;3632
349;Alabama;1417
350;Alabama;1675
351;Alabama;2014
352;Alabama;4783
353;Alabama;1474
354;Alabama;1794
355;Alabama;2870
356;Alabama;2761
357;Alabama;1753
358;Alabama;6446
359;Alabama;1486
360;Alabama;5535
361;Alabama;9825
362;Alabama;8580
363;Alabama;3869
364;Alabama;3701
365;Alabama;2473
366;Alabama;3607
367;Alabama;2184
368;Alabama;2966
369;Alabama;8618
370;Alabama;5050
371;Alabama;5204
372;Alabama;3672
373;Alabama;2236
374;Alabama;3427
375;Alabama;4000
376;Alabama;5147
377;Alabama;1279
378;Alabama;2040
379;Alabama;7669
380;Alabama;5824
381;Alabama;7202
382;Alabama;6210
383;Alabama;3173
384;Alabama;5708
385;Alabama;2121
386;Alabama;3497
387;Alabama;5812
388;Alabama;4659
389;Alabama;4132
390;Alabama;5599
391;Alabama;4422
392;Alabama;6993
393;Alabama;3114
394;Alabama;2124
395;Alabama;3515
396;Alabama;3060
397;Alabama;2739
398;Alabama;3071
399;Alabama;4636
400;Alabama;2803
401;Alabama;2086
402;Alabama;2721
403;Alabama;3118
404;Alabama;1829
405;Alabama;3664
406;Alabama;2299
407;Alabama;2565
408;Alabama;3907
409;Alabama;3237
410;Alabama;3686
411;Alabama;4025
412;Alabama;3806
413;Alabama;2185
414;Alabama;3479
415;Alabama;2424
416;Alabama;3683
417;Alabama;1229
418;Alabama;931
419;Alabama;2275
420;Alabama;2239
421;Alabama;4678
422;Alabama;4634
423;Alabama;5191
424;Alabama;3614
425;Alabama;1368
426;Alabama;2990
427;Alabama;1988
428;Alabama;5071
429;Alabama;4005
430;Alabama;3491
431;Alabama;1991
432;Alabama;1134
433;Alabama;3091
434;Alabama;3502
435;Alabama;1933
436;Alabama;2947
437;Alabama;4032
438;Alabama;3405
439;Alabama;3294
440;Alabama;2191
441;Alabama;4730
442;Alabama;2474
443;Alabama;2847
444;Alabama;3704
445;Alabama;5630
446;Alabama;5574
447;Alabama;2213
448;Alabama;3714
449;Alabama;2798
450;Alabama;5819
451;Alabama;4876
452;Alabama;4750
453;Alabama;1284
454;Alabama;3160
455;Alabama;2679
456;Alabama;4026
457;Alabama;3687
458;Alabama;2168
459;Alabama;1316
460;Alabama;5837
461;Alabama;2581
462;Alabama;1518
463;Alabama;4652
464;Alabama;2427
465;Alabama;4950
466;Alabama;4230
467;Alabama;4958
468;Alabama;6044
469;Alabama;3470
470;Alabama;6083
471;Alabama;3014
472;Alabama;6923
473;Alabama;4902
474;Alabama;5756
475;Alabama;2049
476;Alabama;7648
477;Alabama;11401
478;Alabama;4859
479;Alabama;4117
480;Alabama;5964
481;Alabama;7927
482;Alabama;2248
483;Alabama;5260
484;Alabama;5564
485;Alabama;3933
486;Alabama;3555
487;Alabama;4237
488;Alabama;3189
489;Alabama;6350
490;Alabama;7157
491;Alabama;5516
492;Alabama;3720
493;Alabama;9431
494;Alabama;3482
495;Alabama;7518
496;Alabama;2445
497;Alabama;7082
498;Alabama;4775
499;Alabama;2841
500;Alabama;2669
501;Alabama;2298
502;Alabama;4741
503;Alabama;7622
504;Alabama;4146
505;Alabama;2766
506;Alabama;4245
507;Alabama;3550
508;Alabama;2735
509;Alabama;7733
510;Alabama;3903
511;Alabama;2419
512;Alabama;3403
513;Alabama;4093
514;Alabama;2939
515;Alabama;3664
516;Alabama;6099
517;Alabama;2100
518;Alabama;2704
519;Alabama;4725
520;Alabama;4351
521;Alabama;6158
522;Alabama;4589
523;Alabama;5689
524;Alabama;3505
525;Alabama;5661
526;Alabama;4569
527;Alabama;4738
528;Alabama;2023
529;Alabama;6236
530;Alabama;1636
531;Alabama;4493
532;Alabama;2144
533;Alabama;3581
534;Alabama;4955
535;Alabama;3364
536;Alabama;2057
537;Alabama;1809
538;Alabama;2247
539;Alabama;3734
540;Alabama;3715
541;Alabama;4337
542;Alabama;3329
543;Alabama;4673
544;Alabama;12771
545;Alabama;9922
546;Alabama;2614
547;Alabama;7732
548;Alabama;5642
549;Alabama;4167
550;Alabama;5905
551;Alabama;3537
552;Alabama;3341
553;Alabama;5337
554;Alabama;4430
555;Alabama;9853
556;Alabama;4572
557;Alabama;5379
558;Alabama;4070
559;Alabama;1979
560;Alabama;1996
561;Alabama;983
562;Alabama;3128
563;Alabama;3132
564;Alabama;1885
565;Alabama;3952
566;Alabama;6841
567;Alabama;4707
568;Alabama;6010
569;Alabama;4260
570;Alabama;4130
571;Alabama;2239
572;Alabama;6559
573;Alabama;6778
574;Alabama;5486
575;Alabama;4754
576;Alabama;4132
577;Alabama;7074
578;Alabama;4178
579;Alabama;4670
580;Alabama;3717
581;Alabama;1836
582;Alabama;4177
583;Alabama;5000
584;Alabama;4378
585;Alabama;5848
586;Alabama;4883
587;Alabama;1785
588;Alabama;3328
589;Alabama;2053
590;Alabama;5644
591;Alabama;2300
592;Alabama;7274
593;Alabama;9282
594;Alabama;6171
595;Alabama;711
596;Alabama;4958
597;Alabama;5533
598;Alabama;2900
599;Alabama;4214
600;Alabama;5948
601;Alabama;7840
602;Alabama;10534
603;Alabama;4811
604;Alabama;3667
605;Alabama;3953
606;Alabama;3532
607;Alabama;9428
608;Alabama;8150
609;Alabama;8177
610;Alabama;7478
611;Alabama;3626
612;Alabama;12833
613;Alabama;4992
614;Alabama;1835
615;Alabama;3379
616;Alabama;7427
617;Alabama;4808
618;Alabama;5772
619;Alabama;5396
620;Alabama;5145
621;Alabama;3694
622;Alabama;6289
623;Alabama;5712
624;Alabama;2704
625;Alabama;4828
626;Alabama;2249
627;Alabama;8228
628;Alabama;9407
629;Alabama;4549
630;Alabama;2529
631;Alabama;6358
632;Alabama;14027
633;Alabama;3574
634;Alabama;2466
635;Alabama;1538
636;Alabama;2784
637;Alabama;1375
638;Alabama;2890
639;Alabama;938
640;Alabama;1528
641;Alabama;1120
642;Alabama;2538
643;Alabama;950
644;Alabama;1348
645;Alabama;1666
646;Alabama;1268
647;Alabama;2288
648;Alabama;1449
649;Alabama;1063
650;Alabama;3887
651;Alabama;3810
652;Alabama;3435
653;Alabama;4709
654;Alabama;1987
655;Alabama;2446
656;Alabama;1821
657;Alabama;1440
658;Alabama;2328
659;Alabama;2695
660;Alabama;2493
661;Alabama;4411
662;Alabama;2065
663;Alabama;2738
664;Alabama;2751
665;Alabama;3239
666;Alabama;1761
667;Alabama;1640
668;Alabama;5067
669;Alabama;4364
670;Alabama;1842
671;Alabama;4210
672;Alabama;3710
673;Alabama;1238
674;Alabama;2308
675;Alabama;2128
676;Alabama;3441
677;Alabama;1969
678;Alabama;4744
679;Alabama;4318
680;Alabama;3445
681;Alabama;3147
682;Alabama;4154
683;Alabama;2742
684;Alabama;4195
685;Alabama;2864
686;Alabama;4253
687;Alabama;6982
688;Alabama;4335
689;Alabama;2317
690;Alabama;6406
691;Alabama;3866
692;Alabama;2749
693;Alabama;4761
694;Alabama;9505
695;Alabama;5817
696;Alabama;7697
697;Alabama;4079
698;Alabama;5936
699;Alabama;6179
700;Alabama;12821
701;Alabama;3533
702;Alabama;5711
703;Alabama;7389
704;Alabama;10623
705;Alabama;6807
706;Alabama;8349
707;Alabama;9155
708;Alabama;8622
709;Alabama;10135
710;Alabama;14881
711;Alabama;3189
712;Alabama;9373
713;Alabama;6078
714;Alabama;5260
715;Alabama;8992
716;Alabama;5205
717;Alabama;7491
718;Alabama;1488
719;Alabama;11948
720;Alabama;6413
721;Alabama;4263
722;Alabama;4732
723;Alabama;4189
724;Alabama;1648
725;Alabama;2542
726;Alabama;2335
727;Alabama;4297
728;Alabama;4355
729;Alabama;2580
730;Alabama;1482
731;Alabama;5052
732;Alabama;5405
733;Alabama;2361
734;Alabama;3407
735;Alabama;5416
736;Alabama;3160
737;Alabama;5203
738;Alabama;4560
739;Alabama;6779
740;Alabama;4505
741;Alabama;3430
742;Alabama;7270
743;Alabama;6324
744;Alabama;3541
745;Alabama;3654
746;Alabama;5614
747;Alabama;7919
748;Alabama;4175
749;Alabama;5740
750;Alabama;5657
751;Alabama;5701
752;Alabama;5471
753;Alabama;6035
754;Alabama;1391
755;Alabama;1230
756;Alabama;789
757;Alabama;1791
758;Alabama;1985
759;Alabama;2392
760;Alabama;2377
761;Alabama;4950
762;Alabama;1847
763;Alabama;1917
764;Alabama;1514
765;Alabama;1663
766;Alabama;1716
767;Alabama;1912
768;Alabama;5992
769;Alabama;2659
770;Alabama;1620
771;Alabama;1447
772;Alabama;1383
773;Alabama;2680
774;Alabama;2526
775;Alabama;3047
776;Alabama;1588
777;Alabama;3857
778;Alabama;2790
779;Alabama;1982
780;Alabama;1775
781;Alabama;3151
782;Alabama;3562
783;Alabama;2080
784;Alabama;2243
785;Alabama;2403
786;Alabama;4561
787;Alabama;3854
788;Alabama;3445
789;Alabama;4642
790;Alabama;2593
791;Alabama;2946
792;Alabama;3839
793;Alabama;2564
794;Alabama;2740
795;Alabama;3967
796;Alabama;4488
797;Alabama;2599
798;Alabama;1916
799;Alabama;3164
800;Alabama;7372
801;Alabama;3574
802;Alabama;3644
803;Alabama;2470
804;Alabama;1432
805;Alabama;757
806;Alabama;3355
807;Alabama;3593
808;Alabama;1414
809;Alabama;3497
810;Alabama;4382
811;Alabama;4037
812;Alabama;3095
813;Alabama;4896
814;Alabama;4700
815;Alabama;6950
816;Alabama;4132
817;Alabama;1236
818;Alabama;2041
819;Alabama;891
820;Alabama;2480
821;Alabama;731
822;Alabama;1123
823;Alabama;3522
824;Alabama;1679
825;Alabama;1601
826;Alabama;1614
827;Alabama;1985
828;Alabama;4564
829;Alabama;2767
830;Alabama;7365
831;Alabama;7207
832;Alabama;4045
833;Alabama;4428
834;Alabama;5249
835;Alabama;2258
836;Alabama;5684
837;Alabama;4761
838;Alabama;7628
839;Alabama;4994
840;Alabama;10887
841;Alabama;6793
842;Alabama;4292
843;Alabama;1821
844;Alabama;12121
845;Alabama;8592
846;Alabama;8651
847;Alabama;5980
848;Alabama;5248
849;Alabama;13269
850;Alabama;5757
851;Alabama;6086
852;Alabama;3598
853;Alabama;8543
854;Alabama;3123
855;Alabama;7470
856;Alabama;4235
857;Alabama;4533
858;Alabama;4736
859;Alabama;3149
860;Alabama;3382
861;Alabama;2688
862;Alabama;2641
863;Alabama;4125
864;Alabama;3304
865;Alabama;1343
866;Alabama;1967
867;Alabama;1264
868;Alabama;0
869;Alabama;1215
870;Alabama;1725
871;Alabama;1219
872;Alabama;6086
873;Alabama;3174
874;Alabama;6919
875;Alabama;1407
876;Alabama;363
877;Alabama;1304
878;Alabama;1322
879;Alabama;4082
880;Alabama;2549
881;Alabama;1602
882;Alabama;1420
883;Alabama;2357
884;Alabama;1706
885;Alabama;3274
886;Alabama;1433
887;Alabama;1721
888;Alabama;3659
889;Alabama;3297
890;Alabama;3452
891;Alabama;5064
892;Alabama;3226
893;Alabama;3105
894;Alabama;4343
895;Alabama;4041
896;Alabama;4196
897;Alabama;1078
898;Alabama;2474
899;Alabama;1563
900;Alabama;2448
901;Alabama;5722
902;Alabama;4450
903;Alabama;4812
904;Alabama;7768
905;Alabama;2829
906;Alabama;4100
907;Alabama;5597
908;Alabama;3648
909;Alabama;6305
910;Alabama;3596
911;Alabama;4936
912;Alabama;917
913;Alabama;2082
914;Alabama;6328
915;Alabama;4386
916;Alabama;9183
917;Alabama;4329
918;Alabama;7746
919;Alabama;2864
920;Alabama;5184
921;Alabama;1709
922;Alabama;2564
923;Alabama;5313
924;Alabama;1201
925;Alabama;7912
926;Alabama;3519
927;Alabama;3582
928;Alabama;4082
929;Alabama;4877
930;Alabama;1861
931;Alabama;4565
932;Alabama;1438
933;Alabama;3900
934;Alabama;1711
935;Alabama;1332
936;Alabama;2157
937;Alabama;4608
938;Alabama;3196
939;Alabama;3523
940;Alabama;2209
941;Alabama;4044
942;Alabama;3580
943;Alabama;2894
944;Alabama;3978
945;Alabama;3087
946;Alabama;4037
947;Alabama;2948
948;Alabama;4921
949;Alabama;3323
950;Alabama;5542
951;Alabama;990
952;Alabama;2430
953;Alabama;6061
954;Alabama;4626
955;Alabama;3879
956;Alabama;4618
957;Alabama;6389
958;Alabama;8274
959;Alabama;3794
960;Alabama;3735
961;Alabama;5849
962;Alabama;5120
963;Alabama;4519
964;Alabama;5801
965;Alabama;5793
966;Alabama;2893
967;Alabama;6032
968;Alabama;1041
